"","observationUnitName","plotNumber","observationLevel","germplasmName","Grain weight - g|CO_350:0005123"
"40","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174",174,"plot","NF99414-1",903
"41","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_180",180,"plot","LA17153SBSS-46-1",813
"42","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_182",182,"plot","NC20-4402",977
"43","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_183",183,"plot","LA17153SBSS-55-1",988
"44","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_186",186,"plot","NF12AS-107-4_4",964
"45","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192",192,"plot","NC20-4702",994
"46","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_194",194,"plot","FLLA17088-61",962
"47","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199",199,"plot","HORIZON201",921
"48","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_201",201,"plot","PA7617-3658",948
"49","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_203",203,"plot","OZARK|POGI",859
"50","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_207",207,"plot","LA08039SBSBS-56-A1",823
"51","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212",212,"plot","PA7617-3460",919
"52","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_213",213,"plot","TX19CAS0057",865
"53","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_216",216,"plot","NF00407",931
"54","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_217",217,"plot","GERARD224",941
"55","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_223",223,"plot","LA17089SBS-45-1-1",1022
"56","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_225",225,"plot","LA15015SB-S50",797
"57","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_227",227,"plot","NF12AS-100-4_2",949
"58","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_233",233,"plot","OKAY",1068
"59","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_237",237,"plot","LA99016",1119
"60","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_240",240,"plot","Clav 4476",733
"61","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_241",241,"plot","NF12AS-73-4_3",849
"62","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_244",244,"plot","LA17069SBSS-2-1",1007
"63","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_247",247,"plot","NC20-4700",1015
"64","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_249",249,"plot","Gerard 227",1076
"65","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_251",251,"plot","NF12AS-108-4_4",831
"66","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_253",253,"plot","NF12AS-91-4_1",835
"67","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_258",258,"plot","NF12AS-107-4_2-1",890
"68","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_259",259,"plot","NF401_1",752
"69","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261",261,"plot","NC19-3542",1027
"70","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_264",264,"plot","NF97405B2",891
"71","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_271",271,"plot","NF13-4173-4_6",741
"72","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_274",274,"plot","NC18-5877N",785
"73","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_276",276,"plot","NF18",983
"74","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_282",282,"plot","Horizon 578",872
"75","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_284",284,"plot","NF97405-1",901
"76","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_294",294,"plot","LA17075SBSS-29-1",798
"77","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_297",297,"plot","FLLA11019-8",934
"78","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_301",301,"plot","FLLA16083-25",676
"79","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_305",305,"plot","NC17-6440",769
"80","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_313",313,"plot","LA17129SBSS-8-1",899
"81","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316",316,"plot","SCLA17080SBS-4-2",984
"82","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_323",323,"plot","NC21-6502",828
"83","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_327",327,"plot","Juggernaut",894
"84","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_330",330,"plot","NC21-6609",831
"85","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_334",334,"plot","NF13-4157-4_2",953
"86","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_336",336,"plot","Savage",906
"87","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_338",338,"plot","NF13-4126-4_3",1035
"88","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_341",341,"plot","NF13-4173-4_5",784
"89","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_346",346,"plot","NF13-4083-4_6",793
"90","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_347",347,"plot","NC20-4795",833
"91","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_349",349,"plot","NF13-4124-4_3",818
"92","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367",367,"plot","NC21-6511",927
"93","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_370",370,"plot","NF13-4173-4_4",911
"94","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378",378,"plot","NF99414",695
