harvest_order,type,location_name,trial_name,plot_number,plot_name,accession_name,entry_number,seedlot_name,row_number,col_number,rep_number,block_number,is_a_control
36,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,3,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_3,NF502_5,,,1,3,2,2,
37,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,4,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_4,NF502_5,,,1,4,2,2,
38,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,25,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_25,NF05424_2,,,2,4,2,2,
39,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,32,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_32,NC20-4526,,,3,4,2,2,
40,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,53,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_53,PA7617-3658,,,4,4,3,3,
41,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,60,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_60,NO_OATS_PLANTED,,,5,4,3,3,
42,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,81,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,NF13-4157-4_2,,,6,4,3,3,
43,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,88,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_88,SCLA17018SBSS-45-1,,,7,4,4,4,
44,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,109,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_109,NF12AS-122-4_4,,,8,4,4,4,
45,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,116,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,NF13-4173-4_5,,,9,4,4,4,
46,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,137,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_137,FLLA17069-54,,,10,4,5,5,
47,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,144,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_144,SCLA17080SBS-4-2,,,11,4,5,5,
48,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,165,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,LA17129SBSS-8-1,,,12,4,5,5,
49,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,337,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_337,NF13-4126-4_3,,,13,4,10,10,
50,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,338,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_338,NF13-4126-4_3,,,13,5,10,10,
51,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,164,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_164,NO_OATS_PLANTED,,,12,5,5,5,
52,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,145,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,NF13-4126-4_3,,,11,5,5,5,
53,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,136,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_136,NO_OATS_PLANTED,,,10,5,5,5,
54,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,117,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_117,LA17153SBSS-46-1,,,9,5,4,4,
55,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,108,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_108,NO_OATS_PLANTED,,,8,5,4,4,
56,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,89,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_89,LA15015SB-S50,,,7,5,4,4,
57,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,80,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_80,NO_OATS_PLANTED,,,6,5,3,3,
58,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,61,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_61,NF13-4124-4_3,,,5,5,3,3,
59,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,52,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_52,LA17089SBS-45-1-1,,,4,5,3,3,
60,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,33,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_33,FLLA17069-53,,,3,5,2,2,
61,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,24,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,AURORA,,,2,5,2,2,
62,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,5,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_5,NC20-4452,,,1,5,2,2,
63,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,6,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_6,NC20-4452,,,1,6,2,2,
64,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,23,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_23,AURORA,,,2,6,2,2,
65,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,34,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_34,FLLA17069-53,,,3,6,2,2,
66,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,51,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_51,LA17089SBS-45-1-1,,,4,6,3,3,
67,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,62,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_62,NF13-4124-4_3,,,5,6,3,3,
68,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,79,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_79,NO_OATS_PLANTED,,,6,6,3,3,
69,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,90,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_90,LA15015SB-S50,,,7,6,4,4,
70,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,107,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_107,NO_OATS_PLANTED,,,8,6,4,4,
71,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,118,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,LA17153SBSS-46-1,,,9,6,4,4,
72,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,135,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_135,NO_OATS_PLANTED,,,10,6,5,5,
73,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,146,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_146,NF13-4126-4_3,,,11,6,5,5,
74,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,163,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_163,NO_OATS_PLANTED,,,12,6,5,5,
75,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,339,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,FLLA17088-61,,,13,6,10,10,
76,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,378,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,NF99414,,,14,6,10,10,
77,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,377,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_377,NF99414,,,14,7,10,10,
78,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,340,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_340,FLLA17088-61,,,13,7,10,10,
79,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,162,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_162,NF12AS-108-4_1,,,12,7,5,5,
80,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,147,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_147,NF12AS-122-4_3,,,11,7,5,5,
81,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,134,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_134,NORA,,,10,7,5,5,
82,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,119,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_119,LA99016,,,9,7,4,4,
83,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,106,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_106,FLLA17069-53,,,8,7,4,4,
84,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,91,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_91,NO_OATS_PLANTED,,,7,7,4,4,
85,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,78,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_78,NC21-6475,,,6,7,3,3,
86,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,63,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_63,NC21-6505,,,5,7,3,3,
87,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,50,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_50,NC20-4551,,,4,7,3,3,
88,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,35,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_35,SCLA17031SBSS-4-1,,,3,7,2,2,
89,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,22,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_22,NF12AS-91-4_1,,,2,7,2,2,
90,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,7,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_7,FLLA17088-77,,,1,7,2,2,
91,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,8,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_8,FLLA17088-77,,,1,8,2,2,
92,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,21,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_21,NF12AS-91-4_1,,,2,8,2,2,
93,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,36,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_36,SCLA17031SBSS-4-1,,,3,8,2,2,
94,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,49,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_49,NC20-4551,,,4,8,3,3,
95,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,64,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_64,NC21-6505,,,5,8,3,3,
96,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,77,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,NC21-6475,,,6,8,3,3,
97,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,92,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_92,NO_OATS_PLANTED,,,7,8,4,4,
98,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,105,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_105,FLLA17069-53,,,8,8,4,4,
99,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,120,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_120,LA99016,,,9,8,4,4,
100,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,133,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_133,NORA,,,10,8,5,5,
101,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,148,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_148,NF12AS-122-4_3,,,11,8,5,5,
102,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,161,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,NF12AS-108-4_1,,,12,8,5,5,
103,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,341,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_341,NF13-4173-4_5,,,13,8,10,10,
104,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,376,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_376,NF12AS-108-4_1,,,14,8,10,10,
105,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,375,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_375,NF12AS-108-4_1,,,14,9,10,10,
106,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,342,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_342,NF13-4173-4_5,,,13,9,10,10,
107,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,160,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_160,NF01404A,,,12,9,5,5,
108,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,149,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_149,NC09-4503N,,,11,9,5,5,
109,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,132,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_132,NO_OATS_PLANTED,,,10,9,5,5,
110,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,121,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_121,HARRISON,,,9,9,4,4,
111,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,104,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_104,NO_OATS_PLANTED,,,8,9,4,4,
112,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,93,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_93,TX19CAS0058,,,7,9,4,4,
113,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,76,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_76,TX18OCS9104,,,6,9,3,3,
114,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,65,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,NC21-6497,,,5,9,3,3,
115,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,48,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48,FLLA17088-77,,,4,9,3,3,
116,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,37,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37,TX18OCS9104,,,3,9,2,2,
117,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,20,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_20,Clav 6982,,,2,9,2,2,
118,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,9,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_9,TX18OCS9125,,,1,9,2,2,
119,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,10,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,TX18OCS9125,,,1,10,2,2,
120,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,19,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_19,Clav 6982,,,2,10,2,2,
121,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,38,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_38,TX18OCS9104,,,3,10,2,2,
122,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,47,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_47,FLLA17088-77,,,4,10,3,3,
123,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,66,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_66,NC21-6497,,,5,10,3,3,
124,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,75,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_75,TX18OCS9104,,,6,10,3,3,
125,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,94,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_94,TX19CAS0058,,,7,10,4,4,
126,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,103,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_103,NO_OATS_PLANTED,,,8,10,4,4,
127,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,122,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_122,HARRISON,,,9,10,4,4,
128,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,131,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_131,NO_OATS_PLANTED,,,10,10,5,5,
129,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,150,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_150,NC09-4503N,,,11,10,5,5,
130,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,159,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_159,NF01404A,,,12,10,5,5,
131,plot,"Ithaca, NY - McGowan",Cornell_WinterOatPeaIntercrop_2024_Ithaca,343,Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_343,NF12AS-108-4_4,,,13,10,10,10,
